station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KBIS,2022-12-12 12:00:00,9,951.0,503.0,-3.7,-5.4,150.0,5,0.0,0.0
KBIS,2022-12-12 12:00:00,4,1000.0,104.0,M,M,M,M,M,M
KBIS,2022-12-12 12:00:00,5,946.0,545.0,-3.3,-5.7,M,M,M,M
KBIS,2022-12-12 12:00:00,6,938.3,609.0,M,M,160.0,18,334.0,0.0
KBIS,2022-12-12 12:00:00,5,937.0,620.0,-3.7,-6.2,M,M,M,M
KBIS,2022-12-12 12:00:00,4,925.0,722.0,-4.3,-6.6,160.0,22,338.0,0.0
KBIS,2022-12-12 12:00:00,6,903.1,914.0,M,M,175.0,27,343.0,0.0
KBIS,2022-12-12 12:00:00,6,869.3,1219.0,M,M,200.0,17,353.0,0.0
KBIS,2022-12-12 12:00:00,4,850.0,1399.0,8.2,-6.8,195.0,10,357.0,0.0
KBIS,2022-12-12 12:00:00,5,841.0,1486.0,8.4,-9.6,M,M,M,M
KBIS,2022-12-12 12:00:00,5,834.0,1555.0,8.0,-11.0,M,M,M,M
KBIS,2022-12-12 12:00:00,6,806.3,1828.0,M,M,200.0,15,1.0,1.0
KBIS,2022-12-12 12:00:00,6,776.5,2133.0,M,M,205.0,21,5.0,1.0
KBIS,2022-12-12 12:00:00,6,747.7,2438.0,M,M,200.0,23,9.0,1.0
KBIS,2022-12-12 12:00:00,6,720.1,2743.0,M,M,190.0,25,10.0,2.0
KBIS,2022-12-12 12:00:00,5,719.0,2755.0,-0.3,-13.3,M,M,M,M
KBIS,2022-12-12 12:00:00,4,700.0,2973.0,-1.3,-15.3,195.0,28,10.0,2.0
KBIS,2022-12-12 12:00:00,6,693.4,3048.0,M,M,195.0,28,10.0,2.0
KBIS,2022-12-12 12:00:00,6,667.3,3352.0,M,M,220.0,20,12.0,3.0
KBIS,2022-12-12 12:00:00,5,667.0,3355.0,-3.5,-19.5,M,M,M,M
KBIS,2022-12-12 12:00:00,6,641.5,3657.0,M,M,220.0,24,15.0,3.0
KBIS,2022-12-12 12:00:00,6,593.0,4267.0,M,M,230.0,28,21.0,4.0
KBIS,2022-12-12 12:00:00,5,590.0,4307.0,-11.3,-19.3,M,M,M,M
KBIS,2022-12-12 12:00:00,5,554.0,4785.0,-14.7,-26.7,M,M,M,M
KBIS,2022-12-12 12:00:00,6,547.4,4876.0,M,M,225.0,35,26.0,5.0
KBIS,2022-12-12 12:00:00,4,500.0,5560.0,-21.9,-28.9,220.0,41,29.0,6.0
KBIS,2022-12-12 12:00:00,6,464.4,6096.0,M,M,220.0,48,31.0,7.0
KBIS,2022-12-12 12:00:00,5,452.0,6292.0,-27.7,-31.7,M,M,M,M
KBIS,2022-12-12 12:00:00,6,426.6,6705.0,M,M,200.0,30,31.0,9.0
KBIS,2022-12-12 12:00:00,5,423.0,6765.0,-30.3,-35.3,M,M,M,M
KBIS,2022-12-12 12:00:00,4,400.0,7160.0,-34.1,-39.1,205.0,30,30.0,9.0
KBIS,2022-12-12 12:00:00,6,374.0,7620.0,M,M,205.0,31,30.0,10.0
KBIS,2022-12-12 12:00:00,6,357.8,7924.0,M,M,200.0,36,29.0,11.0
KBIS,2022-12-12 12:00:00,5,348.0,8115.0,-42.5,-46.3,M,M,M,M
KBIS,2022-12-12 12:00:00,5,326.0,8551.0,-46.5,-51.2,M,M,M,M
KBIS,2022-12-12 12:00:00,5,305.0,8988.0,-50.7,-54.5,M,M,M,M
KBIS,2022-12-12 12:00:00,4,300.0,9100.0,-51.5,-55.5,225.0,45,30.0,13.0
KBIS,2022-12-12 12:00:00,6,297.9,9144.0,M,M,225.0,44,30.0,14.0
KBIS,2022-12-12 12:00:00,4,250.0,10250.0,-60.7,-65.0,230.0,79,33.0,17.0
KBIS,2022-12-12 12:00:00,5,249.0,10276.0,-60.9,-65.3,M,M,M,M
KBIS,2022-12-12 12:00:00,6,245.5,10363.0,M,M,230.0,81,34.0,18.0
KBIS,2022-12-12 12:00:00,6,233.7,10668.0,M,M,230.0,71,35.0,19.0
KBIS,2022-12-12 12:00:00,5,232.0,10713.0,-61.5,-66.5,M,M,M,M
KBIS,2022-12-12 12:00:00,5,202.0,11576.0,-58.3,-66.3,M,M,M,M
KBIS,2022-12-12 12:00:00,4,200.0,11640.0,-58.5,-67.5,245.0,60,38.0,22.0
KBIS,2022-12-12 12:00:00,5,194.0,11831.0,-59.1,-68.1,M,M,M,M
KBIS,2022-12-12 12:00:00,5,187.0,12062.0,-57.5,-67.5,M,M,M,M
KBIS,2022-12-12 12:00:00,6,174.4,12496.0,M,M,260.0,44,41.0,24.0
KBIS,2022-12-12 12:00:00,5,169.0,12694.0,-60.9,-72.9,M,M,M,M
KBIS,2022-12-12 12:00:00,6,166.2,12801.0,M,M,235.0,27,42.0,25.0
KBIS,2022-12-12 12:00:00,6,158.4,13106.0,M,M,215.0,28,42.0,25.0
